Date;Ticker;Libellé;Type;Quantité;Cours;Frais;Devise
15/01/2024;ECOC;Ecobank Côte d'Ivoire;Achat;50;6800;2500;XOF
15/01/2024;SNTS;Sonatel;Achat;10;17980;2500;XOF
20/02/2024;SDCC;Sodeci;Achat;100;4770;2500;XOF
05/03/2024;BOAB;Bank of Africa Bénin;Achat;80;3180;2500;XOF
10/06/2024;ORAC;Orange Côte d'Ivoire;Achat;30;10900;2500;XOF
01/07/2024;SNTS;Sonatel;Dividende;10;850;0;XOF
15/09/2024;ECOC;Ecobank Côte d'Ivoire;Achat;30;7100;2500;XOF
01/03/2025;SDCC;Sodeci;Dividende;100;250;0;XOF
20/05/2025;ECOC;Ecobank Côte d'Ivoire;Vente;20;11000;2500;XOF
15/07/2025;SNTS;Sonatel;Dividende;10;900;0;XOF
